"COL","ROW","GhostSeverity","Key1","Key2","Key3","GhostK","ActualK","ComputedK"
0, 2, 2, 53, 85, 83,"[{,   <}, {PageUp}, {UpArrow}]","[]","[{Tab}]"
0, 2, 2, 53, 93, 91,"[{,   <}, {KP 1}, {KP 7}]","[]","[{Tab}]"
0, 2, 2, 53, 98, 96,"[{,   <}, {KP 2}, {KP 8}]","[]","[{Tab}]"
0, 2, 2, 6, 21, 1,"[{5   %}, {T}, {`   ~}]","[]","[{Tab}]"
0, 2, 2, 7, 22, 1,"[{6   ^}, {Y}, {`   ~}]","[]","[{Tab}]"
0, 2, 2, 76, 75, 39,"[{Delete}, {Insert}, {L}]","[]","[{P}]"
0, 2, 2, 8, 23, 1,"[{7   &}, {U}, {`   ~}]","[]","[{Tab}]"
0, 2, 2, 9, 24, 1,"[{8   *}, {I}, {`   ~}]","[]","[{Tab}]"
0, 2, 2, 92, 91, 39,"[{KP 4}, {KP 7}, {L}]","[]","[{P}]"
0, 2, 2, 97, 96, 39,"[{KP 5}, {KP 8}, {L}]","[]","[{P}]"
0, 2, 3, 53, 57, 29,"[{,   <}, {R-Shift}, {\   |}]","[]","[{Tab}]"
0, 3, 2, 102, 101, 26,"[{KP 6}, {KP 9}, {P}]","[]","[{L}]"
0, 3, 2, 11, 100, 102,"[{0   )}, {KP *}, {KP 6}]","[]","[{L}]"
0, 3, 2, 11, 106, 105,"[{0   )}, {KP +}, {KP -}]","[]","[{L}]"
0, 3, 2, 11, 15, 43,"[{0   )}, {Bkspace}, {Enter}]","[]","[{L}]"
0, 3, 2, 11, 76, 80,"[{0   )}, {Delete}, {Home}]","[]","[{L}]"
0, 3, 2, 11, 81, 86,"[{0   )}, {End}, {PageDn}]","[]","[{L}]"
0, 3, 2, 11, 92, 90,"[{0   )}, {KP 4}, {NumLck}]","[]","[{L}]"
0, 3, 2, 11, 95, 97,"[{0   )}, {KP /}, {KP 5}]","[]","[{L}]"
0, 3, 2, 110, 113, 32,"[{Esc}, {F2}, {S}]","[]","[{CapsLck}]"
0, 3, 2, 110, 116, 35,"[{Esc}, {F5}, {G}]","[]","[{CapsLck}]"
0, 3, 2, 110, 117, 36,"[{Esc}, {F6}, {H}]","[]","[{CapsLck}]"
0, 3, 2, 110, 118, 37,"[{Esc}, {F7}, {J}]","[]","[{CapsLck}]"
0, 3, 2, 110, 34, 115,"[{Esc}, {F}, {F4}]","[]","[{CapsLck}]"
0, 3, 2, 119, 86, 124,"[{F8}, {PageDn}, {PrntScrn}]","[]","[{L}]"
0, 3, 2, 119, 92, 126,"[{F8}, {KP 4}, {PauseBrk}]","[]","[{L}]"
0, 3, 2, 12, 11, 40,"[{-   _}, {0   )}, {;   :}]","[]","[{L}]"
0, 3, 2, 2, 31, 1,"[{1   !}, {A}, {`   ~}]","[]","[{CapsLck}]"
0, 3, 2, 24, 38, 16,"[{I}, {K}, {Tab}]","[]","[{CapsLck}]"
0, 3, 2, 26, 86, 85,"[{P}, {PageDn}, {PageUp}]","[]","[{L}]"
0, 3, 2, 3, 32, 1,"[{2   @}, {S}, {`   ~}]","[]","[{CapsLck}]"
0, 3, 2, 31, 110, 112,"[{A}, {Esc}, {F1}]","[]","[{CapsLck}]"
0, 3, 2, 31, 17, 16,"[{A}, {Q}, {Tab}]","[]","[{CapsLck}]"
0, 3, 2, 32, 16, 18,"[{S}, {Tab}, {W}]","[]","[{CapsLck}]"
0, 3, 2, 33, 110, 114,"[{D}, {Esc}, {F3}]","[]","[{CapsLck}]"
0, 3, 2, 33, 19, 16,"[{D}, {E}, {Tab}]","[]","[{CapsLck}]"
0, 3, 2, 34, 20, 16,"[{F}, {R}, {Tab}]","[]","[{CapsLck}]"
0, 3, 2, 35, 21, 16,"[{G}, {T}, {Tab}]","[]","[{CapsLck}]"
